event_id,customer_id,event_time,event_type,session_id
1,508,2024-01-18 14:59:00,view,564394
2,442,2023-08-08 19:21:00,view,631168
3,109,2024-04-05 18:40:00,purchase,369786
4,595,2023-07-03 07:07:00,view,252108
5,605,2024-03-11 16:23:00,view,263968
6,164,2023-09-15 19:41:00,view,913488
7,887,2024-01-10 18:00:00,view,848942
8,808,2024-06-10 05:56:00,view,387223
9,578,2024-07-05 16:44:00,view,366585
10,212,2023-12-23 01:59:00,view,230239
11,994,2023-12-17 22:03:00,view,888944
12,682,2023-09-29 22:46:00,view,653528
13,963,2023-08-14 10:08:00,view,210252
14,104,2023-08-09 19:29:00,view,629560
15,984,2024-07-04 17:25:00,purchase,632869
16,916,2024-05-23 05:46:00,add_to_cart,978806
17,546,2023-07-16 11:33:00,view,765778
18,505,2023-06-03 07:27:00,view,439929
19,477,2024-06-01 18:17:00,view,264848
20,56,2023-09-19 02:15:00,view,158099
21,566,2023-06-11 13:50:00,view,286160
22,50,2024-04-24 07:51:00,add_to_cart,606242
23,7,2024-05-15 20:44:00,view,193055
24,267,2024-03-19 07:05:00,view,448395
25,284,2023-09-17 08:55:00,view,747857
26,244,2023-10-04 18:46:00,view,742594
27,536,2024-01-31 10:53:00,view,741995
28,354,2024-04-12 10:28:00,view,884226
29,412,2024-07-22 09:51:00,view,248603
30,819,2024-06-05 03:41:00,view,661146
31,777,2024-03-20 23:49:00,view,330829
32,740,2023-09-10 06:23:00,view,785013
33,756,2023-09-18 08:43:00,add_to_cart,947086
34,706,2023-09-28 00:36:00,purchase,868093
35,46,2023-08-15 17:59:00,add_to_cart,487382
36,516,2023-06-16 16:19:00,view,360906
37,685,2024-01-05 12:38:00,add_to_cart,275071
38,923,2024-04-12 10:42:00,view,334957
39,689,2024-02-08 19:09:00,view,896820
40,50,2024-03-23 07:07:00,view,413322
41,315,2023-08-20 19:04:00,view,995517
42,769,2023-11-27 00:12:00,view,631283
43,673,2024-04-21 00:19:00,purchase,804183
44,972,2023-10-23 15:55:00,view,645635
45,795,2023-10-17 03:03:00,view,928219
46,732,2023-12-02 16:21:00,view,463175
47,375,2024-01-30 18:41:00,view,878138
