order_id,customer_id,product_id,order_date,quantity,price,amount
1,16,59,2023-08-09,1,40.91,40.91
2,555,94,2023-08-14,2,94.12,188.24
3,548,171,2023-11-06,1,79.81,79.81
4,487,73,2023-12-20,1,42.35,42.35
5,881,6,2023-12-06,2,31.35,62.7
6,896,157,2024-06-17,2,52.33,104.66
7,930,113,2023-11-18,1,79.64,79.64
8,122,154,2024-05-17,1,26.91,26.91
9,2,113,2024-02-22,1,79.64,79.64
10,454,166,2024-06-03,1,21.08,21.08
11,46,70,2024-07-24,1,28.56,28.56
12,331,188,2023-10-31,1,76.02,76.02
13,157,17,2024-01-30,1,39.73,39.73
14,176,161,2023-06-26,3,88.44,265.32
15,317,77,2023-08-22,1,94.42,94.42
16,419,88,2024-04-05,1,111.76,111.76
17,283,52,2024-06-04,1,110.26,110.26
18,757,48,2023-08-12,1,25.74,25.74
19,863,17,2024-04-09,2,39.73,79.46
20,655,38,2023-06-17,1,44.3,44.3
21,426,62,2024-03-13,2,42.42,84.84
22,636,139,2024-03-05,1,35.38,35.38
23,746,153,2023-06-23,1,52.07,52.07
24,665,42,2023-11-03,1,29.96,29.96
25,881,132,2024-07-07,3,59.37,178.10999999999999
26,674,150,2024-03-05,1,112.7,112.7
27,684,184,2024-06-25,1,44.45,44.45
28,396,8,2023-07-20,3,68.2,204.60000000000002
29,323,141,2024-05-31,2,48.0,96.0
30,328,161,2023-06-27,2,88.44,176.88
31,853,79,2024-02-13,1,97.93,97.93
32,431,87,2024-03-24,1,26.76,26.76
33,378,96,2023-09-07,2,101.67,203.34
34,476,129,2023-12-25,1,51.22,51.22
35,727,157,2024-01-11,2,52.33,104.66
36,773,78,2024-06-08,1,102.05,102.05
37,602,177,2024-05-09,1,15.43,15.43
38,341,159,2023-08-07,1,126.13,126.13
39,283,38,2024-06-12,2,44.3,88.6
40,219,21,2023-07-11,1,19.82,19.82
41,427,90,2024-02-23,1,73.37,73.37
42,258,14,2023-12-27,1,21.5,21.5
43,178,70,2023-12-10,2,28.56,57.12
44,721,65,2023-06-28,1,80.92,80.92
45,966,169,2023-09-28,2,27.34,54.68
46,2,59,2023-11-04,1,40.91,40.91
47,185,115,2024-02-18,1,51.53,51.53
48,883,58,2023-11-11,2,32.06,64.12
49,977,132,2023-10-03,1,59.37,59.37
